"id";"title";"slug";"price_guide"
517;"Daytona";"dodge-daytona";0
518;"Durango";"dodge-durango";0
519;"Dynasty";"dodge-dynasty";0
520;"Grand";"dodge-grand";0
521;"Hemi";"dodge-hemi";0
522;"Intrepid";"dodge-intrepid";0
523;"Journey";"dodge-journey";0
524;"Kahuna";"dodge-kahuna";0
525;"Lancer";"dodge-lancer";0
526;"M";"dodge-m";0
527;"Magnum";"dodge-magnum";0
528;"Maxx";"dodge-maxx";0
529;"Mirada";"dodge-mirada";0
530;"Monaco";"dodge-monaco";0
531;"Neon";"dodge-neon";0
532;"Nitro";"dodge-nitro";0
533;"Omni";"dodge-omni";0
534;"Polara";"dodge-polara";0
535;"Power";"dodge-power";0
536;"Prowler";"dodge-prowler";0
537;"R/T";"dodge-rt";0
538;"RAM";"dodge-ram";0
539;"Razor";"dodge-razor";0
540;"Shadow";"dodge-shadow";0
541;"Sidewinder";"dodge-sidewinder";0
542;"SP";"dodge-sp";0
543;"Spirit";"dodge-spirit";0
544;"Sprinter";"dodge-sprinter";0
545;"SRT-4";"dodge-srt-4";0
546;"Startech";"dodge-startech";0
547;"Stealth";"dodge-stealth";0
548;"STP";"dodge-stp";0
549;"Stratus";"dodge-stratus";0
550;"Super";"dodge-super";0
551;"T-Rex";"dodge-t-rex";0
552;"Venom";"dodge-venom";0
553;"Viper";"dodge-viper";0
554;"WC";"dodge-wc";0
555;"125";"ferrari-125";0
556;"125S";"ferrari-125s";0
557;"126";"ferrari-126";0
558;"156";"ferrari-156";0
559;"158";"ferrari-158";0
560;"159S";"ferrari-159s";0
561;"166";"ferrari-166";0
562;"195";"ferrari-195";0
563;"196";"ferrari-196";0
564;"206";"ferrari-206";0
565;"208";"ferrari-208";0
566;"212";"ferrari-212";0
567;"225";"ferrari-225";0
568;"246";"ferrari-246";0
569;"250";"ferrari-250";0
570;"255";"ferrari-255";0
571;"255S";"ferrari-255s";0
572;"256";"ferrari-256";0
573;"275";"ferrari-275";0
574;"288";"ferrari-288";0
575;"306";"ferrari-306";0
576;"308";"ferrari-308";0
577;"312";"ferrari-312";0
578;"328";"ferrari-328";0
579;"330";"ferrari-330";0
580;"330GT";"ferrari-330gt";0
581;"340";"ferrari-340";0
582;"342";"ferrari-342";0
583;"348";"ferrari-348";0
584;"355";"ferrari-355";0
585;"360";"ferrari-360";0
586;"365";"ferrari-365";0
587;"375";"ferrari-375";0
588;"3Z";"ferrari-3z";0
589;"400";"ferrari-400";0
590;"400i";"ferrari-400i";0
591;"410";"ferrari-410";0
592;"412";"ferrari-412";0
593;"456";"ferrari-456";0
594;"456M";"ferrari-456m";0
595;"500";"ferrari-500";0
596;"512";"ferrari-512";0
597;"550";"ferrari-550";0
